RSECTION	DISTRICT	CO	ID_PREFIX	ID_RTE_NO	MUNICIPALITY	MP_SUFFIX	EXIT_NUMBER	RAMP_NUMBER	D	IS_INV_DIR	BEGIN_DIR_MP	END_DIR_MP	ROAD_NAME_START	BEGIN_DESCRIPTION	END_DESCRIPTION	SECTION_LENGTH	COLL_CATEGORY	PRIORITY	GOVT_CONTROL	NHS_CODE	INV_BMP	INV_EMP	BEG_LAT	BEG_LONG	END_LAT	END_LONG	GLOBAL_ROUTE_ID	SUB_ROUTE_ID	ROUTE	TRIMROUTE	ROUTEID	MULTIPLE_BEG_INT	MULTIPLE_END_INT	RVISIKEY	ASSOCIATED_ID_PREFIX	FDIR	BEGIN_SECTION_DESC	BEGIN_SECTION_MILE_POINT	END_SECTION_DESC	END_SECTION_MILE_POINT	COLLECTION_YEAR
6311	6	AL	CO	68	0				N	1	1.94	4.19	OLD LEGISLATIVE RD		SHAFT RD	2.25	2	5	2	0	1.94	4.19	39.6049215	-78.9548096	39.6340401	-78.9501782	63	1	CO 68	CO 68	01000CO00068  01NN**************		1	1	CO	5	SQUIRREL NECK RD	1.19			2016
6711	6	AL	CO	73	0				W	1	0	0.46	HARVEY RD	SHAFT RD	OLD LEGISLATIVE RD	0.46	2	5	2	0	0	0.46	39.6268934	-78.9405288	39.625887	-78.948204	67	1	CO 73	CO 73	01000CO00073  01WW**************	1	1	2	CO	5					2016
10911	6	AL	CO	121	0				S	1	0.61	0.87	HOFFMAN HOLLOW RD	VILLAGE PKWY	WASHINGTON HOLLOW RD	0.26	2	5	2	0	0.61	0.87	39.6428766	-78.9036487	39.6396091	-78.9023711	109	1	CO 121	CO 121	01000CO00121  01SS**************	0	0	3	CO	5	LAUREL HILL DR	0.45	OLD COUNTY RD	1.31	2016
11011	6	AL	CO	123	0				N	1	0	0.87	WASHINGTON HOLLOW RD	HOFFMAN HOLLOW RD	OLD NATIONAL PIKE	0.87	2	5	2	0	0	0.87	39.6396027	-78.9023489	39.6499516	-78.8954702	110	1	CO 123	CO 123	01000CO00123  01NN**************	1	1	4	CO	5					2016
32211	6	AL	CO	354	0				N	1	0	0.23	LONG DR	NATIONAL HWY	OLD CASH VALLEY RD	0.23	2	5	2	0	0	0.23	39.6547796	-78.8119363	39.6574688	-78.8139376	322	1	CO 354	CO 354	01000CO00354  01NN**************	1	1	5	CO	5					2016
40111	6	AL	CO	437	0				N	1	0	0.6	SHADES LA	SHADES LA (BACK)	NAVES CROSSROAD	0.6	2	5	2	0	0	0.6	39.6709149	-78.7411492	39.67746	-78.7346124	401	1	CO 437	CO 437	01000CO00437  01NN**************	1	1	6	CO	5					2016
40311	6	AL	CO	439	0				N	1	0	1.01	VALLEY RD	VALLEY ST (BACK)	BOARDWALK AVE	1.01	2	5	2	0	0	1.01	39.677086	-78.754076	39.689438	-78.744624	403	1	CO 439	CO 439	01000CO00439  01NN**************	1	0	7	CO	5			KNOB RD	1.47	2016
43211	6	AL	CO	469	0				S	1	0.03	0.47	CHRISTIE RD			0.44	2	5	2	0	0.03	0.47	39.6723814	-78.7277584	39.666639	-78.7255041	432	1	CO 469	CO 469	01000CO00469  01SS**************			8	CO	5	ALI GHAN RD	0	COUNTRY CLUB RD	0.54	2016
43311	6	AL	CO	471	0				E	1	0	1.61	COUNTRY CLUB RD	OLD WILLOWBROOK RD	CHRISTIE RD	1.61	2	5	2	0	0	1.61	39.6539328	-78.7388778	39.6662228	-78.7243465	433	1	CO 471	CO 471	01000CO00471  01EE**************	1	1	9	CO	5					2016
47111	6	AL	CO	512	0				W	1	0.19	0.61	MEXICO FARMS RD	END BRIDGE	BURBRIDGE RD	0.42	2	5	2	0	0.19	0.61	39.598515	-78.7420149	39.5992137	-78.7497627	471	1	CO 512	CO 512	01000CO00512  01WW**************	0	0	10	CO	5	STRUC #A0086	0.17	SPUR TO BIERMAN DR	0.78	2016
